method,model,language,project,func_name,id,side
asap,70B,java,real-logic/aeron,ArchiveProxy.listRecordingSubscriptions,613,0.9291318655014038
asap,70B,java,real-logic/aeron,ClusterMember.hasActiveQuorum,614,0.9096112847328186
asap,70B,java,real-logic/aeron,ConcurrentPublication.offer,615,0.5958399772644043
asap,70B,java,real-logic/aeron,Publication.offer,616,0.7910968661308289
asap,70B,java,real-logic/aeron,ExclusivePublication.offer,617,0.5617090463638306
asap,70B,java,real-logic/aeron,ExclusiveTermAppender.appendUnfragmentedMessage,618,0.9600330591201782
asap,70B,java,real-logic/aeron,ArchiveProxy.truncateRecording,619,0.955507218837738
asap,70B,java,real-logic/aeron,ArchiveProxy.getStopPosition,620,0.8763947486877441
asap,70B,java,real-logic/aeron,AeronArchive.getStopPosition,621,0.8641400337219238
asap,70B,java,real-logic/aeron,RecordingLog.createRecoveryPlan,622,0.8898667097091675
asap,70B,java,real-logic/aeron,ClusterMember.validateMemberEndpoints,623,0.9499859809875488
asap,70B,java,real-logic/aeron,ClusterMember.areSameEndpoints,624,0.9903236627578735
asap,70B,java,real-logic/aeron,ClusterMember.encodeAsString,625,0.9759897589683533
asap,70B,java,real-logic/aeron,ClusterMember.isNotDuplicateEndpoints,626,0.892792284488678
asap,70B,java,real-logic/aeron,ClusterMember.findMemberIndex,627,0.9649726748466492
asap,70B,java,real-logic/aeron,ClusterMember.removeMember,628,0.9458165168762207
asap,70B,java,real-logic/aeron,ClusterMember.highMemberId,629,0.9401781558990479
asap,70B,java,real-logic/aeron,AeronCluster.offer,630,0.509773850440979
asap,70B,java,real-logic/aeron,ChannelUri.initialPosition,631,0.7622394561767578
asap,70B,java,real-logic/aeron,ClusterMember.compareLog,632,0.9116725325584412
asap,70B,java,real-logic/aeron,ClusterMember.compareLog,633,0.6247661709785461
asap,70B,java,real-logic/aeron,ChannelUriStringBuilder.initialPosition,634,0.753201425075531
asap,70B,java,real-logic/aeron,ChannelUri.channelTag,635,0.9454230070114136
asap,70B,java,real-logic/aeron,ChannelUri.entityTag,636,0.9560426473617554
asap,70B,java,real-logic/aeron,ChannelUri.getTag,637,0.9484850168228149
asap,70B,java,real-logic/aeron,RecoveryState.getSnapshotRecordingId,638,0.8838623762130737
asap,70B,java,real-logic/aeron,UdpChannel.matchesTag,639,0.7812575101852417
asap,70B,java,real-logic/aeron,PublicationImage.addDestination,640,0.882542610168457
asap,70B,java,real-logic/aeron,StreamStat.snapshot,641,0.8268083930015564
asap,70B,java,real-logic/aeron,HeartbeatStatus.allocate,642,0.8378452062606812
asap,70B,java,real-logic/aeron,ClusterMember.reset,643,0.9075958728790283
asap,70B,java,real-logic/aeron,ClusterMember.isQuorumCandidate,644,0.9441148042678833
asap,70B,java,real-logic/aeron,ClusterMember.isUnanimousCandidate,645,0.9397244453430176
asap,70B,java,real-logic/aeron,ArchiveProxy.tryConnect,646,0.781485378742218
asap,70B,java,real-logic/aeron,ArchiveProxy.findLastMatchingRecording,647,0.9410783648490906
asap,70B,java,real-logic/aeron,AeronArchive.truncateRecording,648,0.9628154039382935
